REG_ID,Average employment size of active enterprises (employer firms),Average employment size of newly born enterprises (employer firms),"Birth rate (in % of employer firms - same sector, same size class)",Density of birth employer firms (% of births divided by 1000 population),Density of employer firms actives (% of actives firms by 1000 population),Number of births (employer firms),Number of employer firms actives,Number of persons employed in active enterprises (employer firms),Number of persons employed in newly born enterprises (employer firms),      Child-to-woman Ratio (% 0-4 over females 15-49),      Crude death rate (deaths for 1000 population),      Crude youth death rate (0-14 deaths for 1 000 population of same age group),"      Dependency ratio, demographic (% -15 plus 65+ over population 15-64)",      Growth/Shrinking index of the total population (2001=100),"      Sex Ratio, Elderly Population (% 65+ population males over females )","      Sex Ratio, Total Population (% population males over females )","      Sex Ratio, Youth Population (% -15 population males over females )",      Share of Very Elderly Population (% 80+ over total population),      Share of elderly population (% 65+ over total population),      Share of working age population (15-64 year olds),      Share of youth population (0-14 year olds),    Population density (pop. per km2),    Population density growth index (2001=100),    Regional surface,"Regional GDP      Millions USD, current prices, current PPP","Regional GDP      USD per head, current prices, current PPP"
AT111,10.33,2.97,6.8,1.7,24.7,63.0,926.0,9567.0,187.0,20.29,13.195,0.0,56.91,99.4,78.95,96.45,99.83,7.01,23.7,63.73,12.57,54.05,99.4,694.0,1358.02,36262.0
AT112,10.07,3.34,7.26,1.9,26.1,301.0,4144.0,41745.0,1006.0,20.97,10.794,0.228,52.73,113.2,80.83,96.04,105.93,5.76,20.74,65.47,13.78,97.24,113.2,1635.0,7280.17,45638.0
AT113,9.72,3.06,6.85,1.6,23.8,158.0,2305.0,22414.0,484.0,19.45,12.193,0.083,54.91,99.1,79.42,96.64,106.83,6.4,23.04,64.55,12.41,66.81,99.1,1451.0,3684.15,37997.0
AT121,13.2,3.15,6.06,1.3,20.9,313.0,5163.0,68156.0,987.0,24.46,9.828,0.286,51.7,103.9,78.84,99.58,107.4,5.52,18.47,65.92,15.61,74.75,103.9,3301.0,11754.7,47582.0
AT122,11.24,3.37,7.09,1.6,23.0,425.0,5998.0,67437.0,1434.0,22.63,10.715,0.212,53.61,106.2,77.72,96.71,105.12,5.33,20.44,65.1,14.46,77.8,106.2,3348.0,11500.7,44094.0
AT123,14.29,3.33,6.92,1.6,22.5,242.0,3497.0,49986.0,805.0,22.56,9.367,0.131,51.71,109.7,79.14,97.31,106.58,5.28,19.39,65.91,14.69,128.04,109.7,1214.0,9407.6,60344.0
AT124,11.43,3.37,5.88,1.3,22.9,293.0,4987.0,57025.0,986.0,21.62,11.824,0.349,55.26,97.0,79.12,98.32,104.6,6.74,22.43,64.41,13.16,47.76,97.1,4553.0,9304.51,42866.0
AT125,8.75,3.22,7.02,1.2,17.3,152.0,2165.0,18944.0,489.0,20.91,12.875,0.247,53.62,101.4,81.65,98.09,104.75,6.42,21.97,65.09,12.94,52.29,101.4,2390.0,4127.88,32999.0
AT126,8.76,3.22,8.84,2.1,23.2,679.0,7677.0,67240.0,2184.0,22.2,9.768,0.429,51.82,119.8,81.25,96.29,104.96,4.87,19.33,65.87,14.8,124.29,119.8,2658.0,13211.3,39834.0
AT127,18.93,3.6,8.03,2.3,28.6,786.0,9794.0,185396.0,2832.0,21.32,9.851,0.201,52.72,117.2,77.59,94.62,105.44,4.71,19.94,65.48,14.58,237.08,117.2,1443.0,24827.0,72310.0
AT130,16.13,3.6,9.65,2.7,27.7,5069.0,52522.0,847330.0,18236.0,21.1,8.511,0.47,45.03,122.1,70.99,95.12,106.63,3.9,16.47,68.95,14.58,4791.64,122.1,396.0,133075.0,69880.0
AT211,9.9,3.18,7.79,2.2,28.8,644.0,8271.0,81847.0,2045.0,20.87,10.535,0.156,52.84,107.0,74.34,93.19,105.94,5.49,21.2,65.43,13.37,146.85,107.0,1958.0,16935.8,58770.0
AT212,11.16,3.47,6.41,1.9,29.3,233.0,3635.0,40570.0,809.0,21.61,10.937,0.306,56.43,94.4,79.06,96.83,106.13,6.66,22.93,63.93,13.14,30.55,94.4,4067.0,4931.63,39758.0
AT213,11.41,3.18,6.88,1.7,24.6,253.0,3675.0,41943.0,805.0,21.54,11.015,0.147,54.64,93.7,76.56,97.58,104.38,6.3,21.67,64.67,13.66,44.63,93.7,3342.0,6740.84,45268.0
AT221,14.88,3.41,7.72,2.1,26.6,909.0,11782.0,175349.0,3098.0,20.54,8.538,0.296,45.38,124.4,72.08,97.51,107.19,4.59,17.47,68.79,13.75,369.22,124.4,1200.0,31053.9,69768.0
AT222,10.48,3.27,6.09,1.8,30.0,146.0,2397.0,25130.0,477.0,22.08,10.713,0.375,56.58,97.3,78.56,95.89,105.32,6.35,22.8,63.86,13.34,24.31,97.3,3287.0,4224.98,52958.0
AT223,13.43,3.02,5.84,1.2,21.0,195.0,3337.0,44814.0,588.0,20.51,13.135,0.158,58.4,90.1,75.05,96.41,106.74,7.34,24.95,63.13,11.92,49.86,90.1,3190.0,8556.03,53906.0
AT224,12.02,3.21,5.86,1.4,24.2,378.0,6448.0,77528.0,1212.0,22.77,9.977,0.16,51.77,99.7,78.33,98.87,105.88,5.89,20.05,65.89,14.06,80.98,99.7,3296.0,11711.3,43872.0
AT225,11.2,3.3,7.28,1.8,24.9,352.0,4833.0,54122.0,1163.0,20.8,10.717,0.194,51.11,102.3,78.4,97.64,103.98,5.53,20.57,66.18,13.25,86.93,102.3,2237.0,7995.79,41061.0
AT226,10.63,3.72,6.23,1.5,23.3,145.0,2327.0,24728.0,540.0,21.13,12.201,0.468,56.16,91.0,76.17,97.26,105.94,6.94,23.1,64.04,12.86,32.76,90.9,3042.0,4413.22,44376.0
AT311,14.62,3.39,6.27,1.4,22.6,407.0,6496.0,94954.0,1381.0,23.85,9.456,0.21,49.38,106.0,78.59,100.16,106.4,5.25,18.17,66.94,14.89,103.36,106.0,2783.0,15332.7,53134.0
AT312,21.14,3.36,7.8,1.9,24.0,1108.0,14213.0,300402.0,3723.0,23.61,8.934,0.404,49.63,113.1,75.63,97.04,105.41,4.84,18.13,66.83,15.04,348.11,113.1,1700.0,44534.1,75010.0
AT313,12.19,3.17,6.15,1.2,20.0,257.0,4179.0,50924.0,815.0,25.52,8.863,0.208,50.56,104.0,81.98,101.52,105.3,4.94,17.54,66.42,16.04,79.58,104.0,2630.0,8260.23,39387.0
AT314,15.71,3.3,6.66,1.5,22.1,229.0,3439.0,54013.0,756.0,23.4,9.763,0.173,53.04,102.4,76.87,98.59,106.59,5.48,19.77,65.34,14.89,70.23,102.4,2214.0,9268.66,59540.0
AT315,12.78,3.29,6.76,1.7,25.8,414.0,6128.0,78331.0,1361.0,24.53,9.509,0.252,52.5,105.4,76.96,97.41,105.69,5.3,19.42,65.57,15.0,99.53,105.4,2390.0,13392.1,56146.0
AT321,9.38,4.06,4.86,1.6,32.4,32.0,659.0,6179.0,130.0,22.17,9.055,0.0,51.87,95.1,78.28,98.77,105.77,5.58,20.12,65.85,14.04,20.06,95.1,1013.0,1014.42,49996.0
AT322,9.86,3.51,6.32,2.4,38.2,406.0,6424.0,63367.0,1426.0,23.76,8.587,0.04,50.19,103.8,81.71,97.14,104.62,4.82,18.38,66.58,15.04,38.57,103.8,4357.0,10423.5,61886.0
AT323,17.05,3.18,7.36,2.4,32.3,871.0,11839.0,201825.0,2772.0,22.41,8.461,0.395,49.86,110.6,75.01,94.95,104.82,4.66,18.78,66.73,14.49,217.47,110.6,1687.0,28291.5,76858.0
AT331,10.98,3.24,7.96,2.8,34.6,90.0,1130.0,12411.0,292.0,22.21,8.999,0.0,51.46,103.7,83.19,98.57,105.69,4.96,19.82,66.02,14.16,26.91,103.7,1214.0,2202.12,67240.0
AT332,12.47,3.31,7.58,2.2,29.2,689.0,9095.0,113450.0,2281.0,20.92,8.394,0.138,46.89,116.8,76.56,96.53,106.03,4.68,17.94,68.08,13.98,149.8,116.8,2079.0,19666.8,63051.0
AT333,10.75,3.11,6.71,1.9,28.7,94.0,1401.0,15055.0,292.0,22.35,9.702,0.42,53.44,96.7,78.54,98.13,106.39,6.15,20.19,65.17,14.64,24.29,96.7,2007.0,2309.69,47378.0
AT334,9.84,3.11,5.26,2.0,38.9,214.0,4067.0,40025.0,666.0,23.28,7.796,0.123,47.0,108.9,79.81,98.99,104.77,4.5,16.35,68.03,15.63,31.77,109.0,3287.0,6947.01,66390.0
AT335,11.49,3.37,6.57,2.3,34.6,586.0,8913.0,102448.0,1977.0,23.31,7.932,0.285,49.3,113.4,81.03,97.16,106.37,4.76,18.03,66.98,15.0,65.61,113.4,3924.0,17038.9,66014.0
AT341,11.84,3.59,5.7,1.9,33.0,173.0,3036.0,35957.0,621.0,25.31,7.672,0.204,50.44,106.2,81.3,100.63,105.47,4.85,17.54,66.47,15.99,49.56,106.2,1854.0,6383.78,69291.0
AT342,15.26,3.51,6.92,1.8,25.9,542.0,7832.0,119548.0,1903.0,24.21,7.794,0.329,49.93,114.7,78.82,97.99,105.29,4.57,17.24,66.7,16.06,446.03,114.7,678.0,18919.8,62320.0
BG311,7.41,2.24,8.56,1.5,18.0,131.0,1531.0,11350.0,293.0,19.55,22.648,0.683,71.54,62.3,68.9,95.02,106.95,6.73,29.63,58.29,12.07,28.4,62.3,2988.0,1072.61,12792.0
BG312,8.93,2.84,8.86,1.6,17.5,201.0,2269.0,20256.0,570.0,22.49,21.591,0.341,66.16,68.8,68.56,95.52,107.53,6.13,26.25,60.18,13.57,36.25,68.8,3576.0,1790.87,13956.0
BG313,9.08,2.61,9.58,1.8,18.7,291.0,3038.0,27580.0,760.0,22.72,19.563,0.451,60.84,64.2,68.99,96.66,106.7,5.37,24.17,62.17,13.65,45.39,64.2,3581.0,3136.9,19483.0
BG314,9.44,2.78,9.31,1.9,20.6,460.0,4942.0,46635.0,1281.0,23.85,19.236,0.868,66.45,76.3,69.79,94.69,105.03,6.05,26.03,60.08,13.9,52.55,76.3,4574.0,3427.0,14379.0
BG315,9.29,2.37,8.27,1.9,22.7,234.0,2829.0,26281.0,555.0,23.0,20.677,0.358,67.37,71.6,68.48,95.0,103.59,6.64,26.84,59.75,13.41,30.28,71.6,4124.0,1865.13,15077.0
BG321,9.82,2.84,8.57,1.9,22.2,449.0,5238.0,51421.0,1276.0,19.78,17.365,0.633,56.89,78.9,68.76,93.53,105.34,5.08,23.52,63.74,12.74,50.99,78.9,4623.0,3798.78,16224.0
BG322,11.86,3.04,8.58,2.3,27.3,254.0,2959.0,35080.0,771.0,19.67,19.501,0.159,67.37,71.2,66.03,92.92,105.68,6.73,28.63,59.75,11.62,53.72,71.2,2018.0,2277.87,21189.0
BG323,10.45,3.36,7.73,1.9,25.0,423.0,5474.0,57187.0,1420.0,20.04,16.98,0.502,56.45,80.0,66.7,95.35,107.64,5.03,23.33,63.92,12.75,77.78,80.0,2810.0,4063.98,18726.0
BG324,8.78,3.55,8.63,1.6,18.5,179.0,2073.0,18208.0,635.0,21.24,16.751,0.583,54.66,68.4,67.53,95.13,105.27,3.94,21.6,64.66,13.75,46.59,68.4,2409.0,1703.37,15275.0
BG325,7.62,2.5,8.33,1.4,17.2,157.0,1884.0,14363.0,392.0,22.62,17.635,0.334,60.54,72.0,71.03,95.8,107.83,4.4,24.01,62.29,13.7,39.03,72.0,2800.0,1223.56,11263.0
BG331,10.06,3.19,9.78,2.9,29.5,1360.0,13911.0,139952.0,4345.0,20.97,12.711,0.559,51.7,108.2,67.9,95.02,106.25,4.07,18.88,65.92,15.2,124.74,108.2,3778.0,11264.8,23939.0
BG332,7.83,2.64,7.96,1.7,21.2,294.0,3692.0,28913.0,777.0,20.39,16.752,0.609,56.62,77.4,68.44,94.54,106.22,4.26,21.98,63.85,14.17,36.9,77.4,4711.0,2534.77,14667.0
BG333,10.69,2.95,8.23,1.5,18.3,259.0,3147.0,33657.0,765.0,20.47,15.619,0.374,54.73,80.6,68.43,95.39,107.01,4.3,21.4,64.63,13.97,51.08,80.6,3374.0,2570.39,14917.0
BG334,10.39,3.76,10.3,1.9,18.9,217.0,2106.0,21872.0,817.0,22.75,16.918,0.846,56.84,77.6,67.49,95.49,104.56,4.35,21.41,63.76,14.83,41.38,77.6,2697.0,1707.08,15343.0
BG341,7.99,3.04,11.45,3.7,32.7,1534.0,13400.0,107046.0,4663.0,22.42,13.85,0.515,54.17,96.5,68.48,93.83,105.17,4.17,19.53,64.86,15.61,53.73,96.5,7637.0,8067.07,19685.0
BG342,9.23,2.78,8.26,1.5,17.7,273.0,3307.0,30531.0,760.0,30.79,15.18,1.391,62.03,81.6,65.65,94.55,104.06,4.36,19.78,61.72,18.5,52.97,81.6,3521.0,2207.81,11914.0
BG343,10.73,2.54,9.6,2.0,20.6,235.0,2447.0,26254.0,598.0,26.04,17.839,0.615,64.31,71.4,70.65,95.89,103.31,5.72,24.09,60.86,15.05,35.61,71.4,3339.0,1755.64,14863.0
BG344,12.62,2.61,8.82,2.0,22.8,635.0,7200.0,90832.0,1656.0,23.79,16.425,0.846,59.32,82.6,65.82,93.97,107.44,5.25,22.28,62.77,14.95,62.07,82.6,5097.0,7521.6,23887.0
BG411,13.58,2.96,9.39,4.1,44.1,5498.0,58542.0,794931.0,16249.0,20.1,11.772,0.326,47.13,108.7,62.85,92.16,105.77,4.08,17.46,67.97,14.57,1016.94,108.7,1306.0,75097.1,56529.0
BG412,11.05,2.65,8.32,1.8,22.2,423.0,5084.0,56174.0,1120.0,22.49,18.176,0.508,59.33,89.4,69.05,96.53,105.33,5.59,23.49,62.76,13.75,32.48,89.4,7052.0,5684.55,24948.0
BG413,7.64,2.7,9.97,3.5,35.0,1065.0,10679.0,81552.0,2875.0,21.48,13.286,0.336,51.42,88.7,71.4,94.87,104.91,4.29,19.31,66.04,14.65,47.37,88.7,6441.0,4600.73,15138.0
BG414,8.86,3.29,10.6,2.4,23.1,296.0,2793.0,24734.0,974.0,20.89,20.276,0.868,60.18,79.6,68.24,94.79,107.76,6.34,25.19,62.43,12.39,50.79,79.6,2380.0,1645.64,13709.0
BG415,7.61,3.68,9.99,2.7,27.1,322.0,3224.0,24540.0,1185.0,21.03,20.464,0.488,64.85,70.4,68.62,94.84,105.78,6.54,27.29,60.66,12.06,39.04,70.4,3049.0,1636.88,13874.0
BG421,10.46,2.85,9.2,2.7,29.0,1781.0,19368.0,202555.0,5075.0,22.5,14.617,0.397,55.04,91.8,64.88,92.52,106.23,5.13,20.81,64.5,14.69,113.2,91.8,5904.0,14152.8,21201.0
BG422,7.74,2.61,8.22,2.0,24.6,462.0,5623.0,43524.0,1205.0,23.22,16.599,0.633,59.09,78.7,68.59,95.39,104.09,5.63,22.61,62.86,14.54,41.74,78.7,5466.0,3002.7,13244.0
BG423,9.52,2.63,9.13,2.0,22.1,515.0,5638.0,53698.0,1354.0,23.77,15.719,0.673,55.46,81.4,66.14,95.96,106.56,4.56,20.56,64.33,15.12,58.2,81.4,4390.0,3713.92,14614.0
BG424,9.48,2.66,8.24,2.2,27.1,235.0,2853.0,27049.0,624.0,18.97,15.794,0.33,54.57,72.9,65.85,93.57,103.82,4.94,23.81,64.69,11.49,33.05,72.9,3190.0,1789.52,17128.0
BG425,9.5,4.11,10.05,1.8,17.5,269.0,2677.0,25431.0,1106.0,24.16,12.834,0.59,52.6,75.9,75.89,97.64,106.19,4.47,20.06,65.53,14.41,48.29,75.9,3166.0,2191.27,14088.0
