REG_ID,Growth > 5%
AT111,0
AT112,0
AT113,0
AT121,1
AT122,1
AT123,1
AT124,1
AT125,1
AT126,1
AT127,1
AT130,0
AT211,0
AT212,1
AT213,0
AT221,1
AT222,0
AT223,1
AT224,1
AT225,1
AT226,1
AT311,1
AT312,0
AT313,0
AT314,0
AT315,1
AT321,0
AT322,0
AT323,1
AT331,0
AT332,1
AT333,0
AT334,0
AT335,1
AT341,1
AT342,0
BG311,1
BG312,0
BG313,0
BG314,1
BG315,1
BG321,1
BG322,1
BG323,1
BG324,1
BG325,1
BG331,0
BG332,1
BG333,1
BG334,0
BG341,1
BG342,1
BG343,0
BG344,0
BG411,1
BG412,1
BG413,1
BG414,0
BG415,0
BG421,1
BG422,1
BG423,1
BG424,1
BG425,1
CH011,0
CH012,0
CH013,0
CH021,0
CH022,0
CH023,0
CH024,0
CH025,0
CH031,0
CH032,0
CH033,0
CH040,0
CH051,1
CH052,0
CH053,0
CH054,0
CH055,0
CH056,1
CH057,0
CH061,0
CH062,0
CH063,0
CH064,1
CH065,0
CH066,0
CH070,0
CZ010,1
CZ020,1
CZ031,1
CZ032,0
CZ041,1
CZ042,1
CZ051,1
CZ052,1
CZ053,1
CZ063,1
CZ064,1
CZ071,1
CZ072,1
CZ080,0
DK011,0
DK012,0
DK013,1
DK014,1
DK021,0
DK022,1
DK031,0
DK032,1
DK041,1
DK042,1
DK050,0
EE001,0
EE004,1
EE008,1
ES111,1
ES112,0
ES113,1
ES114,1
ES120,1
ES130,1
ES211,0
ES212,1
ES213,1
ES220,1
ES230,1
ES241,1
ES242,0
ES243,1
ES300,1
ES411,1
ES412,0
ES413,1
ES414,0
ES415,1
ES416,1
ES417,0
ES418,0
ES419,1
ES421,1
ES422,0
ES423,0
ES424,1
ES425,0
ES431,0
ES432,1
ES511,1
ES512,1
ES513,1
ES514,0
ES521,1
ES522,1
ES523,1
ES531,1
ES532,0
ES533,0
ES611,1
ES612,1
ES613,0
ES614,1
ES615,0
ES616,0
ES617,1
ES618,1
ES620,1
ES630,1
ES640,1
ES703,1
ES704,0
ES705,1
ES706,0
ES707,1
ES708,0
ES709,0
FI193,0
FI194,1
FI195,0
FI196,0
FI197,0
FI1B1,1
FI1C1,0
FI1C2,1
FI1C3,0
FI1C4,1
FI1C5,0
FI1D1,0
FI1D2,0
FI1D3,0
FI1D5,0
FI1D7,0
FI1D8,0
FI1D9,1
FI200,1
FR101,1
FR102,1
FR103,1
FR104,1
FR105,1
FR106,1
FR107,1
FR108,1
FRB01,1
FRB02,1
FRB03,1
FRB04,1
FRB05,1
FRB06,1
FRC11,1
FRC12,1
FRC13,1
FRC14,1
FRC21,1
FRC22,1
FRC23,1
FRC24,1
FRD11,1
FRD12,1
FRD13,1
FRD21,1
FRD22,1
FRE11,1
FRE12,1
FRE21,1
FRE22,1
FRE23,1
FRF11,1
FRF12,1
FRF21,1
FRF22,1
FRF23,1
FRF24,1
FRF31,1
FRF32,1
FRF33,1
FRF34,1
FRG01,1
FRG02,1
FRG03,1
FRG04,1
FRG05,1
FRH01,1
FRH02,1
FRH03,1
FRH04,1
FRI11,1
FRI12,1
FRI13,1
FRI14,1
FRI15,1
FRI21,1
FRI22,1
FRI23,1
FRI31,1
FRI32,1
FRI33,1
FRI34,1
FRJ11,1
FRJ12,1
FRJ13,1
FRJ14,1
FRJ15,1
FRJ21,1
FRJ22,1
FRJ23,1
FRJ24,1
FRJ25,1
FRJ26,1
FRJ27,1
FRJ28,1
FRK11,1
FRK12,1
FRK13,1
FRK14,1
FRK21,1
FRK22,1
FRK23,1
FRK24,1
FRK25,1
FRK26,1
FRK27,1
